species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g,Adelie,Chinstrap,Gentoo
Gentoo,0.47058823529411764,0.011904761904761862,0.6724137931034483,0,0.5,0.0,0.0,1.0
Gentoo,0.6235294117647058,0.38095238095238104,1.0,1,0.8333333333333334,0.0,0.0,1.0
Gentoo,0.5725490196078432,0.11904761904761904,0.6551724137931034,0,0.4861111111111111,0.0,0.0,1.0
Gentoo,0.6235294117647058,0.24999999999999994,0.7931034482758621,1,0.8333333333333334,0.0,0.0,1.0
Gentoo,0.5294117647058824,0.1666666666666667,0.7413793103448276,1,0.75,0.0,0.0,1.0
Gentoo,0.4862745098039215,0.04761904761904766,0.6551724137931034,0,0.5138888888888888,0.0,0.0,1.0
Gentoo,0.44313725490196065,0.17857142857142858,0.6724137931034483,0,0.5833333333333334,0.0,0.0,1.0
Gentoo,0.4941176470588236,0.26190476190476203,0.8103448275862069,1,0.6944444444444444,0.0,0.0,1.0
Gentoo,0.36078431372549,0.035714285714285796,0.6379310344827587,0,0.4722222222222222,0.0,0.0,1.0
Gentoo,0.49803921568627435,0.2738095238095239,0.7413793103448276,1,0.6805555555555556,0.0,0.0,1.0
Gentoo,0.26666666666666655,0.07142857142857138,0.7241379310344828,0,0.5416666666666666,0.0,0.0,1.0
Gentoo,0.584313725490196,0.3571428571428573,0.7586206896551724,1,0.7916666666666666,0.0,0.0,1.0
Gentoo,0.44705882352941173,0.07142857142857138,0.7241379310344828,0,0.5416666666666666,0.0,0.0,1.0
Gentoo,0.5607843137254901,0.17857142857142858,0.7068965517241379,1,0.875,0.0,0.0,1.0
Gentoo,0.4588235294117645,0.17857142857142858,0.6551724137931034,0,0.4166666666666667,0.0,0.0,1.0
Gentoo,0.5960784313725489,0.3095238095238095,0.7758620689655172,1,0.875,0.0,0.0,1.0
Gentoo,0.3098039215686274,0.04761904761904766,0.6551724137931034,0,0.4027777777777778,0.0,0.0,1.0
Gentoo,0.592156862745098,0.24999999999999994,0.8448275862068966,1,1.0,0.0,0.0,1.0
Gentoo,0.47450980392156866,0.1666666666666667,0.6379310344827587,0,0.5833333333333334,0.0,0.0,1.0
Gentoo,0.5725490196078432,0.23809523809523808,0.8620689655172413,1,0.7361111111111112,0.0,0.0,1.0
Gentoo,0.6313725490196079,0.142857142857143,0.7931034482758621,1,0.8333333333333334,0.0,0.0,1.0
Gentoo,0.43137254901960786,0.1666666666666667,0.7413793103448276,0,0.6388888888888888,0.0,0.0,1.0
Gentoo,0.4862745098039215,0.1666666666666667,0.7068965517241379,0,0.4722222222222222,0.0,0.0,1.0
Gentoo,0.47843137254901946,0.32142857142857156,0.7413793103448276,1,0.6527777777777778,0.0,0.0,1.0
Gentoo,0.34509803921568616,0.0,0.7413793103448276,0,0.6388888888888888,0.0,0.0,1.0
Gentoo,0.47058823529411764,0.23809523809523808,0.7413793103448276,1,0.6666666666666666,0.0,0.0,1.0
Gentoo,0.4078431372549019,0.142857142857143,0.7586206896551724,0,0.3888888888888889,0.0,0.0,1.0
Gentoo,0.5372549019607842,0.22619047619047622,0.7413793103448276,1,0.8194444444444444,0.0,0.0,1.0
Gentoo,0.5529411764705883,0.142857142857143,0.6551724137931034,0,0.5277777777777778,0.0,0.0,1.0
Gentoo,0.6235294117647058,0.26190476190476203,0.8275862068965517,1,0.7916666666666666,0.0,0.0,1.0
Gentoo,0.5176470588235292,0.26190476190476203,0.8620689655172413,1,0.7083333333333334,0.0,0.0,1.0
Gentoo,0.34117647058823514,0.1309523809523809,0.6379310344827587,0,0.5555555555555556,0.0,0.0,1.0
Gentoo,0.43137254901960786,0.1666666666666667,0.603448275862069,0,0.6527777777777778,0.0,0.0,1.0
Gentoo,1.0,0.4642857142857143,1.0,1,0.9305555555555556,0.0,0.0,1.0
Gentoo,0.5882352941176471,0.2023809523809525,0.8275862068965517,0,0.6805555555555556,0.0,0.0,1.0
Gentoo,0.5607843137254901,0.38095238095238104,0.8275862068965517,1,0.75,0.0,0.0,1.0
Gentoo,0.3333333333333333,0.07142857142857138,0.7068965517241379,0,0.625,0.0,0.0,1.0
Gentoo,0.4039215686274509,0.5000000000000001,0.8103448275862069,1,0.7083333333333334,0.0,0.0,1.0
Gentoo,0.388235294117647,0.05952380952380952,0.6206896551724138,0,0.4583333333333333,0.0,0.0,1.0
Gentoo,0.5725490196078432,0.3095238095238095,0.6206896551724138,1,0.7361111111111112,0.0,0.0,1.0
Gentoo,0.3372549019607844,0.07142857142857138,0.6206896551724138,0,0.3472222222222222,0.0,0.0,1.0
Gentoo,0.6078431372549019,0.3452380952380953,0.9137931034482759,1,0.8333333333333334,0.0,0.0,1.0
Gentoo,0.43921568627450963,0.07142857142857138,0.6551724137931034,0,0.4444444444444444,0.0,0.0,1.0
Gentoo,0.6078431372549019,0.22619047619047622,0.7586206896551724,1,0.5694444444444444,0.0,0.0,1.0
Gentoo,0.6431372549019607,0.3333333333333334,0.8620689655172413,1,0.7916666666666666,0.0,0.0,1.0
Gentoo,0.37254901960784315,0.09523809523809532,0.7758620689655172,0,0.6111111111111112,0.0,0.0,1.0
Gentoo,0.44705882352941173,0.09523809523809532,0.6551724137931034,0,0.4166666666666667,0.0,0.0,1.0
Gentoo,0.6431372549019607,0.3333333333333334,0.9137931034482759,1,0.75,0.0,0.0,1.0
Gentoo,0.42352941176470577,0.023809523809523937,0.7068965517241379,0,0.6666666666666666,0.0,0.0,1.0
Gentoo,0.4352941176470589,0.32142857142857156,0.7413793103448276,1,0.7222222222222222,0.0,0.0,1.0
